category,sub_category,job_title,province,job_company,job_industry,job_finance,job_scale,job_welfare,job_experience,job_education,job_skills,salary_lower,salary_high,city,district,street
后端开发,Node.js,node和h5开发工程师,上海,拼多多集团-PDD,互联网,已上市,1000-9999人,"节日福利,全勤奖,定期体检",2,本科,"JavaScript/TypeScript,Node.js开发经验,前端,Node.js,",50,55,上海,长宁区,中山公园
后端开发,Node.js,前端开发工程师,北京,今日头条,互联网,未融资,10000人以上,"股票期权,节日礼品,就近租房补贴,年度体检,法定节假日三薪,团建聚餐,交通补助,零食下午茶,补充医疗保险,五险一金,定期体检,餐补,弹性工作制,免费健身设施,带薪年假,餐饮及下午茶,年终奖,意外险,家庭关爱假,家属自选保险",0,本科,"软件工程师,初级软件工程师,中级软件工程师",30,60,北京,海淀区,五道口
后端开发,Node.js,node.js后端_实习,广东,广州游讯,社交网络与媒体,不需要融资,100-499人,"零食下午茶,股票期权,节日福利,带薪年假,五险一金",0,3个月,"Node.js,后端开发,JavaScript",60,100元/天,广州,天河区,天河客运站
后端开发,Node.js,Nodejs高级后端工程师,四川,Availink,智能硬件,不需要融资,100-499人,"五险一金,补充医疗保险,节日福利,定期体检,带薪年假",0,本科,"Node.js,Javascript",10,20,成都,武侯区,火车南站
后端开发,Node.js,高级后端开发,浙江,彼爱医疗,互联网,A轮,20-99人,"五险一金,节日福利",2,本科,"Javascript,Node.js,后端开发",15,30,杭州,滨江区,长河
后端开发,Node.js,软件开发工程师,福建,建信金科,银行,不需要融资,1000-9999人,"工会福利,零食下午茶,带薪年假,五险一金,员工关怀,节日福利,餐补,补充医疗保险,定期体检,年终奖",2,本科,"Node.js,计算机/软件工程相关专业,Node.js开发经验,",13,22,厦门,思明区,会展中心
后端开发,语音/视频/图形开发,camera 调试工程师,广东,雷影光电,仪器仪表,未融资,100-499人,"年终奖,五险一金,工龄奖,节日福利,带薪年假,绩效奖金,全勤奖,加班补助,员工旅游",1,本科,"图形开发/渲染,Golang,Python,C++,OpenGL,,,,",15,25,深圳,南山区,西丽
后端开发,语音/视频/图形开发,高级渲染开发工程师,北京,SenseTime,计算机软件,已上市,1000-9999人,"住房补贴,年终奖,带薪年假,补充医疗保险,加班补助,定期体检,节日福利,交通补助,股票期权,五险一金,通讯补贴,零食下午茶,包吃,餐补",2,本科,"数据结构,算法基础,C++,视觉图像算法,OpenGL",30,50,北京,海淀区,中关村
后端开发,语音/视频/图形开发,资深图形渲染(偏渲染引擎),广东,云泊软件,计算机软件,不需要融资,100-499人,"节日福利,绩效奖金,零食下午茶,团建聚餐,年终奖,生日福利,五险一金,定期体检,交通补助,带薪年假,补充医疗保险",3,本科,"图形开发/渲染,音视频/流媒体开发,C++,OpenGL,,,,",35,65,深圳,龙岗区,坂田
后端开发,语音/视频/图形开发,资深音视频开发工程师,北京,华为企业通信,计算机软件,未融资,10000人以上,"定期体检,年终奖,免费班车,加班补助,带薪年假,五险一金,补充医疗保险,节假日加班费,股票期权",2,本科,"音视频/流媒体开发,C++,C,Python,音视频编解码,,",18,35,北京,海淀区,上地
后端开发,语音/视频/图形开发,图形研发工程师,北京,中科红旗,计算机软件,未融资,20-99人,"定期体检,工龄奖,绩效奖金,生日福利,节日福利,通讯补贴,带薪年假,五险一金",3,本科,"图形开发/渲染,C++,C,OpenGL,图形开发经验",15,26,北京,海淀区,魏公村
后端开发,语音/视频/图形开发,渲染工程师（科学计算可视化方向）,四川,吉利控股集团,汽车研发/制造,已上市,10000人以上,"带薪年假,包吃,员工旅游,定期体检,零食下午茶,股票期权,节日福利,五险一金,免费班车,通讯补贴,住房补贴,交通补助,年终奖,补充医疗保险,加班补助,餐补",3,硕士,"图形开发/渲染,C++,OpenGL,图形开发经验",20,40,成都,双流区,华阳
后端开发,语音/视频/图形开发,图形加速算法工程师,浙江,杭州思看科技有限公司,智能硬件,B轮,100-499人,"团建聚餐,全勤奖,年终奖,节日福利,餐补,定期体检,加班补助,五险一金,带薪年假,员工旅游,生日福利",3,本科,"图形开发/渲染,C++,图形开发经验",30,45,杭州,余杭区,五常
后端开发,语音/视频/图形开发,图像视频技术工程师,北京,小元感知,通信/网络设备,A轮,20-99人,"节日福利,免费班车,带薪年假,股票期权,五险一金",2,硕士,"C++,音视频编解码,流媒体传输协议,计算机图形学,,",20,40,北京,通州区,永顺
后端开发,语音/视频/图形开发,客户端渲染开发工程师,上海,小红书,电子商务,D轮及以上,1000-9999人,"生日福利,餐补,团建聚餐,带薪年假,包吃,住房补贴,股票期权,加班补助,零食下午茶,年终奖,定期体检,五险一金",0,本科,"图形开发经验,C++,计算机图形学,OpenGL,",30,50,上海,黄浦区,人民广场
后端开发,语音/视频/图形开发,RTC 商业化资深解决方案工程师-视频架构,上海,北京字节跳动,互联网,不需要融资,10000人以上,"包吃,交通补助,年度体检,弹性工作制,餐饮及下午茶,带薪年假,餐补,就近租房补贴,家庭关爱假,住房补贴,年终奖,意外险,团建聚餐,绩效奖金,节日礼品,定期体检,补充医疗保险,五险一金,零食下午茶,节日福利",3,本科,"音视频/流媒体开发,音视频开发经验",35,55,上海,杨浦区,五角场
后端开发,语音/视频/图形开发,RTC音视频工程师,广东,比特微,电子/硬件开发,B轮,500-999人,"带薪年假,五险一金,餐补,补充医疗保险,团建聚餐,股票期权,零食下午茶,年终奖,通讯补贴,生日福利,节日福利,员工旅游",3,本科,webrtc,25,40,深圳,南山区,科技园
后端开发,语音/视频/图形开发,音频工程师,浙江,浙江大华,互联网,已上市,10000人以上,"住房免息贷款,加班补助,免费班车,定期体检,通讯补贴,节日福利,五险一金,交通补助,年终奖,餐补,补充医疗保险,带薪年假,包吃,员工旅游",2,硕士,"音视频/流媒体开发,音视频开发经验",15,20,杭州,滨江区,浦沿
